"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 15, 2015","183.8","149.9","198.5","148.6","12.18K","22.61%"
"Jan 16, 2015","179.9","183.8","193.1","175.0","6.34K","-2.11%"
"Jan 17, 2015","174.4","179.9","184.9","172.0","2.98K","-3.06%"
"Jan 18, 2015","182.1","174.4","191.6","170.2","4.59K","4.37%"
"Jan 19, 2015","188.1","182.1","189.0","180.1","3.45K","3.33%"
"Jan 20, 2015","183.9","188.1","188.2","179.0","4.89K","-2.24%"
"Jan 21, 2015","196.9","183.9","199.0","183.3","5.32K","7.05%"
"Jan 22, 2015","204.6","196.9","207.8","194.7","6.33K","3.92%"
"Jan 23, 2015","207.8","204.6","209.7","198.2","4.28K","1.56%"
"Jan 24, 2015","220.4","207.8","223.1","204.6","3.58K","6.08%"
